ablation_group,exp_id,description,varied_axis,lid_mean,lid_std,pos_mean,pos_std,lid_delta_vs_r1,pos_delta_vs_r1

Temperature ablation (τ sweep — all MLP soft token-level)
temperature,R2,tau=0.1 (sharpest),tau,0.8898,0.0065,0.6699,0.0154,+0.0461,−0.0077
temperature,R3,tau=0.3,tau,0.8886,0.0029,0.6699,0.0125,+0.0449,−0.0077
temperature,R4,tau=0.5,tau,0.8843,0.0011,0.6691,0.0097,+0.0406,−0.0085
temperature,R1,tau=1.0 (baseline),tau,0.8437,0.0321,0.6776,0.0150,0.0000,0.0000
temperature,R5,tau=2.0 (softest),tau,0.8440,0.0324,0.6679,0.0028,+0.0003,−0.0097

Router input ablation (what the router sees)
router_input,R1,both HingBERT+RoBERTa (baseline),router_input,0.8437,0.0321,0.6776,0.0150,0.0000,0.0000
router_input,A2,HingBERT hidden states only,router_input,0.8606,0.0024,0.6723,0.0016,+0.0169,−0.0053
router_input,A3,RoBERTa hidden states only,router_input,0.8742,0.0008,0.6705,0.0017,+0.0305,−0.0071

Router architecture ablation (MLP vs BiGRU vs CNN — all tau=1.0 soft token-level)
router_arch,R1,RouterMLP (baseline),router_type,0.8437,0.0321,0.6776,0.0150,0.0000,0.0000
router_arch,R8,RouterGRU (BiGRU),router_type,0.8661,0.0063,0.6422,0.0217,+0.0224,−0.0354
router_arch,R9,RouterCNN (k=5),router_type,0.8829,0.0012,0.6678,0.0001,+0.0392,−0.0098

Routing granularity ablation (token-level vs sentence-level)
granularity,R1,token-level routing (baseline),routing_mode,0.8437,0.0321,0.6776,0.0150,0.0000,0.0000
granularity,R7,hard token-level (straight-through),routing_mode,0.8758,0.0010,0.6520,0.0022,+0.0321,−0.0256
granularity,R6,sentence-level (CLS),routing_mode,0.8120,0.0004,0.6644,0.0018,−0.0317,−0.0132
